epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7997.69,1.34419,1.33098,1.36149,0.63177,0.77983,0.76515,0.42505,1.25939,1.18503,1.3832,0.000614071,0.000614071,0.000614071
43,8159.41,1.35326,1.35476,1.36353,0.61347,0.77195,0.7702,0.42629,1.26114,1.18177,1.39311,0.000601677,0.000601677,0.000601677
44,8330.33,1.35893,1.32987,1.36799,0.63567,0.79766,0.77394,0.44587,1.27035,1.13828,1.39175,0.000589181,0.000589181,0.000589181
45,8491.87,1.36154,1.33922,1.37769,0.60658,0.79708,0.75485,0.42959,1.27726,1.18859,1.40014,0.000576598,0.000576598,0.000576598
46,8663.03,1.34569,1.3313,1.36043,0.65245,0.77786,0.77349,0.44004,1.26454,1.11963,1.38044,0.00056394,0.00056394,0.00056394
47,8834.22,1.34309,1.30987,1.35353,0.59058,0.77622,0.7496,0.42246,1.26754,1.16281,1.40144,0.000551218,0.000551218,0.000551218
48,8995.66,1.35021,1.31941,1.36608,0.65077,0.79909,0.76675,0.42727,1.2717,1.17191,1.38798,0.000538445,0.000538445,0.000538445
49,9167.11,1.34993,1.30862,1.35374,0.6641,0.79781,0.76739,0.43844,1.27174,1.12284,1.38733,0.000525634,0.000525634,0.000525634
50,9336.64,1.34178,1.30756,1.35744,0.73174,0.65333,0.75038,0.41796,1.2891,1.21843,1.38897,0.000512799,0.000512799,0.000512799
51,9500.79,1.3155,1.29339,1.33859,0.62098,0.80504,0.76318,0.43324,1.27565,1.19731,1.396,0.00049995,0.00049995,0.00049995
52,9672.11,1.30384,1.27568,1.33094,0.61103,0.82331,0.77117,0.43917,1.23937,1.12244,1.37216,0.000487101,0.000487101,0.000487101
53,9833.95,1.3192,1.29747,1.34438,0.62345,0.80504,0.78018,0.45514,1.22037,1.14557,1.36794,0.000474266,0.000474266,0.000474266
54,10005.6,1.31364,1.28486,1.34214,0.69366,0.77663,0.79583,0.45599,1.25371,1.11912,1.37707,0.000461455,0.000461455,0.000461455
55,10176.7,1.32086,1.28745,1.34737,0.67355,0.81044,0.77969,0.44816,1.23997,1.10383,1.37451,0.000448682,0.000448682,0.000448682
56,10338.3,1.30378,1.27728,1.33843,0.65145,0.82466,0.77598,0.44612,1.2367,1.10135,1.36403,0.00043596,0.00043596,0.00043596
57,10509.5,1.29029,1.27713,1.32651,0.63184,0.81458,0.79148,0.44207,1.23869,1.09238,1.37078,0.000423302,0.000423302,0.000423302
58,10670.5,1.30898,1.28011,1.33643,0.66855,0.78573,0.78148,0.44702,1.22362,1.12166,1.35842,0.000410719,0.000410719,0.000410719
59,10843.1,1.29658,1.25337,1.32055,0.64636,0.77262,0.78462,0.44913,1.23205,1.13463,1.36953,0.000398223,0.000398223,0.000398223
60,11013.3,1.29124,1.26104,1.32805,0.66287,0.82672,0.79815,0.46167,1.22836,1.13135,1.36774,0.000385829,0.000385829,0.000385829
61,11178.6,1.28585,1.24413,1.32077,0.637,0.79131,0.78868,0.45197,1.22711,1.13148,1.35777,0.000373547,0.000373547,0.000373547
62,11349.5,1.2774,1.24329,1.32049,0.65208,0.80335,0.81233,0.46371,1.22934,1.11661,1.34668,0.000361389,0.000361389,0.000361389
63,11520.3,1.28503,1.24809,1.31626,0.69373,0.81879,0.80341,0.46566,1.20838,1.08507,1.33689,0.000349369,0.000349369,0.000349369
64,11639.3,1.29214,1.24765,1.31955,0.65376,0.79593,0.79969,0.4611,1.21093,1.10189,1.33572,0.000337497,0.000337497,0.000337497
65,11727.1,1.26212,1.22903,1.31037,0.64948,0.81173,0.79023,0.46501,1.19837,1.10096,1.33673,0.000325785,0.000325785,0.000325785
66,11815,1.27398,1.23508,1.31768,0.63627,0.83808,0.8006,0.46169,1.21616,1.10196,1.3427,0.000314245,0.000314245,0.000314245
67,11903.5,1.26547,1.24266,1.31525,0.66457,0.81722,0.79891,0.46009,1.19662,1.09325,1.35916,0.000302889,0.000302889,0.000302889
68,11991.5,1.26448,1.2358,1.31202,0.64231,0.8135,0.79388,0.45362,1.21987,1.0922,1.36266,0.000291727,0.000291727,0.000291727
69,12079.5,1.23681,1.20563,1.29973,0.64307,0.8371,0.8003,0.46437,1.20555,1.11181,1.35367,0.00028077,0.00028077,0.00028077
70,12167.5,1.24361,1.2216,1.29446,0.69564,0.81296,0.8057,0.47354,1.19746,1.03436,1.35494,0.00027003,0.00027003,0.00027003
71,12255.4,1.25695,1.22309,1.30915,0.65344,0.81957,0.7982,0.45736,1.19159,1.13025,1.34697,0.000259516,0.000259516,0.000259516
72,12343.6,1.23584,1.21202,1.29355,0.68105,0.84272,0.81739,0.47837,1.19432,1.08748,1.34405,0.00024924,0.00024924,0.00024924
73,12431.4,1.26635,1.22651,1.30481,0.6779,0.82778,0.81895,0.47769,1.19532,1.08454,1.32103,0.000239212,0.000239212,0.000239212
74,12519.2,1.23478,1.20684,1.29353,0.66115,0.8134,0.80824,0.46926,1.17826,1.10771,1.31127,0.00022944,0.00022944,0.00022944
75,12606.9,1.23194,1.19263,1.28857,0.65414,0.78111,0.80318,0.47152,1.18252,1.0983,1.32386,0.000219936,0.000219936,0.000219936
76,12694.6,1.23558,1.20214,1.28816,0.65018,0.83342,0.80849,0.47207,1.18649,1.07629,1.32646,0.000210708,0.000210708,0.000210708
77,12782.3,1.23857,1.20145,1.29215,0.648,0.84501,0.80531,0.47539,1.18405,1.091,1.32308,0.000201765,0.000201765,0.000201765
78,12870,1.23356,1.18413,1.28645,0.64156,0.84317,0.81223,0.47486,1.16392,1.08307,1.30638,0.000193117,0.000193117,0.000193117
79,12957.7,1.24003,1.18276,1.28434,0.64596,0.84658,0.81684,0.48003,1.17231,1.06582,1.31095,0.000184772,0.000184772,0.000184772
80,13045.5,1.24253,1.18603,1.29066,0.63982,0.82557,0.80818,0.47145,1.1681,1.09859,1.308,0.000176737,0.000176737,0.000176737
81,13133.2,1.22995,1.19173,1.28546,0.67507,0.82186,0.81194,0.47996,1.17348,1.03805,1.32182,0.000169022,0.000169022,0.000169022
82,13220.8,1.23293,1.1958,1.28723,0.67681,0.82454,0.81373,0.47547,1.16634,1.04143,1.30864,0.000161633,0.000161633,0.000161633
83,13308.5,1.21576,1.18114,1.27778,0.6571,0.82313,0.81686,0.481,1.16499,1.04586,1.32161,0.000154578,0.000154578,0.000154578
84,13396.3,1.22115,1.18974,1.27984,0.66935,0.81936,0.81172,0.47559,1.17438,1.05167,1.32146,0.000147863,0.000147863,0.000147863
85,13484.6,1.2157,1.15814,1.26683,0.68388,0.81547,0.81343,0.4772,1.16124,1.08465,1.31172,0.000141497,0.000141497,0.000141497
86,13574.2,1.20725,1.1735,1.27581,0.67525,0.83632,0.81776,0.48013,1.16471,1.0638,1.31127,0.000135484,0.000135484,0.000135484
87,13662.4,1.22558,1.17066,1.28286,0.67305,0.82093,0.81038,0.47126,1.1744,1.06943,1.32212,0.00012983,0.00012983,0.00012983
88,13750.4,1.20241,1.16359,1.27521,0.69544,0.82274,0.81582,0.48168,1.18153,1.04661,1.3347,0.000124542,0.000124542,0.000124542
89,13838.3,1.2048,1.17214,1.2683,0.67701,0.84136,0.83254,0.49079,1.1616,1.04739,1.30385,0.000119625,0.000119625,0.000119625
90,13926.4,1.19882,1.16136,1.26447,0.67065,0.82912,0.82171,0.48182,1.1579,1.03998,1.30857,0.000115083,0.000115083,0.000115083
91,14111.4,1.05507,0.98978,1.20983,0.69451,0.80315,0.82475,0.48193,1.17133,1.03791,1.32246,0.00011092,0.00011092,0.00011092
92,14198,1.03576,0.96159,1.20666,0.69725,0.80694,0.8252,0.4817,1.16789,1.06655,1.31273,0.000107142,0.000107142,0.000107142
93,14285.7,1.0327,0.95154,1.20556,0.64221,0.85063,0.82356,0.48067,1.17082,1.06205,1.31582,0.000103751,0.000103751,0.000103751
94,14372,1.03167,0.95211,1.21179,0.68687,0.82985,0.82624,0.47821,1.17359,1.05221,1.34106,0.000100751,0.000100751,0.000100751
95,14458.5,1.02307,0.94752,1.20454,0.68457,0.83751,0.81802,0.48243,1.15917,1.05678,1.32235,9.81454e-05,9.81454e-05,9.81454e-05
96,14545,1.03002,0.94235,1.20124,0.6725,0.83069,0.81601,0.47983,1.15873,1.0542,1.32018,9.59361e-05,9.59361e-05,9.59361e-05
97,14631.5,1.01117,0.9311,1.19274,0.6569,0.83437,0.81982,0.48464,1.1554,1.05746,1.32264,9.41255e-05,9.41255e-05,9.41255e-05
98,14718.2,1.00264,0.93071,1.19142,0.68815,0.83343,0.82386,0.483,1.15347,1.0636,1.32052,9.27154e-05,9.27154e-05,9.27154e-05
99,14804.6,1.00216,0.92268,1.18555,0.68083,0.81517,0.81931,0.48386,1.13763,1.0436,1.30159,9.17072e-05,9.17072e-05,9.17072e-05
100,14891.1,1.00184,0.92987,1.18211,0.6649,0.83532,0.82009,0.48549,1.14229,1.04935,1.30911,9.11018e-05,9.11018e-05,9.11018e-05
